"id","institutionCode","eventDate","year","recordedBy","goodQualityAccessURI","associatedSpecimenReference","draw"
236149,"UCSC","2012-05-16",2012,"Becky Hendricks","https://bisque.cyverse.org/image_service/image/00-nFUUESVQD9qhYNiMJmcfUZ/resize:1250/format:jpeg","https://www.cch2.org/portal/collections/individual/index.php?occid=236149",9
1894570,"UCSB","1962-06-08",1962,"Dennis E. Breedlove","https://api.idigbio.org/v2/media/9a2915f7b97fa29c9535f56802690dca?size=webview","https://www.cch2.org/portal/collections/individual/index.php?occid=1894570",10
2315328,"HPSU","1978-3-23",1978,"Linda Pickens",NA,NA,11
1363302,"DAV","1953-05-30",1953,"R. V. Parke","https://bisque.cyverse.org/image_service/image/00-vgvXVRTFfjXfecf7Wh6zRS/resize:1250/format:jpeg","https://www.cch2.org/portal/collections/individual/index.php?occid=1363302",12
1954811,"WCW","1981-4-NA",1981,"David Harris",NA,NA,13
2233307,"SOC","1972-4-30",1972,"Ronald E. Caramella",NA,NA,14
3676774,"UCSC","2017-10-02",2017,"Reed C. Benkendorf","https://bisque.cyverse.org/image_service/image/00-wgnCeMKtQBTCxbpYeSsMcH/resize:1250/format:jpeg","https://www.cch2.org/portal/collections/individual/index.php?occid=3676774",15
4450389,"OBI","2020-09-03",2020,"Kaito Lopez","https://bisque.cyverse.org/image_service/image/00-NUTGvAkgygW7bwF5g92AUf/resize:1250/format:jpeg","https://www.cch2.org/portal/collections/individual/index.php?occid=4450389",16
934117,"ID","2006-8-23",2006,"Richard R. Halse",NA,NA,17
2072071,"SRP","2002-8-22",2002,"N.J. Brian",NA,NA,18
2233887,"SOC","1971-5-9",1971,"Keith L. Graves",NA,NA,19
195874,"OBI","1981-05-16",1981,"David J. Keil","https://api.idigbio.org/v2/media/57c24e675a2c20ffc9c3ba24212c3678?size=webview","https://www.cch2.org/portal/collections/individual/index.php?occid=195874",20
